Plot_OutOrbit.EarthMJ2000Eq.X   Plot_OutOrbit.EarthMJ2000Eq.Y   Plot_OutOrbit.EarthMJ2000Eq.Z   
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
-1019.860567583209              -6850.100901500911              -1118.721550712162              
