JupiterExpress.SunICRF.X   JupiterExpress.SunICRF.Y   JupiterExpress.SunICRF.Z   JupiterExpress.ElapsedDays   
-71434533.73258138         118078574.9577267          51184441.51033515          0                            
-71436587.34247334         118077540.243419           51183993.08101628          0.0006944444430700969        
-71442452.91002683         118074584.7416205          51182712.2118354           0.002677952485100832         
-71461227.00907452         118065123.7117835          51178611.94642217          0.009026825053297216         
-71517246.94492561         118036881.524583           51166372.21427158          0.02797299195299274          
-71676336.88277842         117956583.3451364          51131572.20428823          0.08179256726361928          
-72170772.47701138         117706138.0068904          51023032.93989471          0.2491981182138261           
-73510645.53283936         117020677.2661974          50725964.02262857          0.7039289501408348           
-76440442.53862            115486913.090316           50061249.9849176           1.703928950140835            
-79346529.11011915         113917326.5370919          49381007.55313183          2.703928950140835            
-82228046.43629219         112312465.4389553          48685474.17061009          3.703928950140835            
-85084162.54050079         110672908.9035454          47974900.89740166          4.703928950140835            
-87914073.98913659         108999265.8421218          47249551.70068696          5.703928950140835            
-90717007.45707968         107292173.3876071          46509702.73638202          6.703928950140835            
-93492221.13999383         105552295.2080926          45755641.65144142          7.703928950140835            
-96239006.02556522         103780319.7393933          44987666.8553082           8.703928950140835            
-98956687.01992822         101976958.3725753          44206086.70696556          9.703928950140835            
-101644623.9122085         100142943.6096313          43411218.65054537          10.70392895014083            
-104302212.2268817         98279027.11513561          42603388.38079382          11.70392895014083            
-106928883.8783613         96385977.74917519          41782929.06121297          12.70392895014083            
-109524107.6896853         94464579.56594364          40950180.53241415          13.70392895014083            
-112087389.7447662         92515629.85166129          40105488.44944569          14.70392895014083            
-114618273.5955247         90539937.18913215          39249203.366926            15.70392895014083            
-117116340.328406          88538319.53061219          38381679.83984051          16.70392895014083            
-119581208.4772328         86511602.29356511          37503275.58834423          17.70392895014083            
-122012533.8255626         84460616.44356221          36614350.72474761          18.70392895014083            
-124410009.0618384         82386196.64532439          35715267.00812344          19.70392895014083            
-126773363.3192701         80289179.47783728          34806387.08874163          20.70392895014083            
-129102361.6123349         78170401.71904026          33888073.72999737          21.70392895014083            
-131396804.1503488         76030698.73750965          32960689.03997222          22.70392895014083            
-133656525.5683484         73870902.92661528          32024593.76870162          23.70392895014083            
-135881394.0685706         71691842.19688872          31080146.70153409          24.70392895014083            
-138071310.4800534         69494338.55099961          30127704.11470175          25.70392895014083            
-140226207.2544619         67279206.75906454          29167619.22556103          26.70392895014083            
-142346047.404304          65047253.15419774          28200241.60761406          27.70392895014083            
-144430823.414088          62799274.47823486          27225916.62035542          28.70392895014083            
-146480556.0826667         60536056.84741953          26244984.93365473          29.70392895014083            
-148495293.3476346         58258374.74073371          25257782.17064333          30.70392895014083            
-150475109.0604672         55966990.12938358          24264638.60742167          31.70392895014083            
-152420101.7586192         53662651.69586053          23265878.84785012          32.70392895014083            
-154330393.437622          51346094.14787315          22261821.4576387           33.70392895014083            
-156206128.3195594         49018037.61988121          21252778.61878891          34.70392895014083            
-158047471.6369391         46679187.08459696          20239055.87386588          35.70392895014083            
-159854608.4000797         44330231.88191763          19220951.96783552          36.70392895014083            
-161627742.1704119         41971845.35037798          18198758.73793582          37.70392895014083            
-163367093.8729916         39604684.48070959          17172760.99391292          38.70392895014083            
-165072900.6230649         37229389.68821807          16143236.371252            39.70392895014083            
-166745414.5874514         34846584.61683629          15110455.19573307          40.70392895014083            
-168384901.8724532         32456875.98061947          14074680.41935152          41.70392895014083            
-169991641.4320217         30060853.48499808          13036167.6359017           42.70392895014083            
-171565924.0132815         27659089.79405066          11995165.10964722          43.70392895014083            
-173108051.1364363         25252140.59113304          10951913.75571419          44.70392895014083            
-174618334.1256758         22840544.6087432           9906647.109650027          45.70392895014083            
-176097093.1672661         20424823.72433972          8859591.365598259          46.70392895014083            
-177544656.4003126         18005483.12066939          7810965.488923265          47.70392895014083            
-178961359.0574747         15583011.41339937          6760981.317014812          48.70392895014083            
-180347542.6390673         13157880.88368717          5709843.605601513          49.70392895014083            
-181703554.1307315         10730547.69254902          4657750.079218997          50.70392895014083            
-183029745.2554982         8301452.137487471          3604891.556780773          51.70392895014083            
-184326471.7662895         5871018.902976425          2551452.120294404          52.70392895014083            
-185594092.7765545         3439657.366814207          1497609.245558075          53.70392895014083            
-186832970.1303205         1007761.893328467          443533.8981720405          54.70392895014083            
-188043467.8069813         -1424287.858332777         -610609.3365287362         55.70392895014083            
-189225951.3617029         -3856126.592484033         -1664662.086346219         56.70392895014083            
-190380787.4008658         -6287403.055940968         -2718472.066388384         57.70392895014083            
-191508343.089525          -8717779.688623853         -3771892.988019191         58.70392895014083            
-192608985.6906697         -11146932.28675902         -4824784.395678166         59.70392895014083            
-193683082.1409894         -13574549.61992308         -5877011.413764248         60.70392895014083            
-194730998.6551356         -16000333.11215331         -6928444.536089293         61.70392895014083            
-195753100.3549976         -18423996.49478932         -7978959.549697935         62.70392895014083            
-196749750.9247557         -20845265.43264236         -9028437.493474144         63.70392895014083            
-197721312.2921525         -23263877.17515479         -10076764.52327627         64.70392895014083            
-198668144.3408287         -25679580.19930449         -11123831.6802763          65.70392895014083            
-199590604.646489          -28092133.87560012         -12169534.66115695         66.70392895014083            
-200489048.2376684         -30501308.10236947         -13213773.66287978         67.70392895014083            
-201363827.3629478         -32906883.01439317         -14256453.30255779         68.70392895014083            
-202215291.2899073         -35308648.6015172          -15297482.53814749         69.70392895014083            
-203043786.119444          -37706404.39265486         -16336774.51654516         70.70392895014083            
-203849654.6224194         -40099959.14543216         -17374246.36858279         71.70392895014083            
-204633236.0972943         -42489130.51044259         -18409819.04777713         72.70392895014083            
-205394866.2324624         -44873744.73775178         -19443417.22985625         73.70392895014083            
-206134876.9862318         -47253636.37883958         -20474969.19509159         74.70392895014083            
-206853596.4835675         -49628648.0016579          -21504406.66780269         75.70392895014083            
-207551348.9298635         -51998629.88561724         -22531664.68898521         76.70392895014083            
-208228454.5329327         -54363439.71598381         -23556681.55704129         77.70392895014083            
-208885229.4243729         -56722942.34528363         -24579398.73626495         78.70392895014083            
-209521985.6102046         -59077009.53212622         -25599760.66256388         79.70392895014083            
