Spacecraft: JupiterExpress_Finite

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Mar 2032 10:58:23.201    27 Mar 2032 11:36:48.214      2305.0122467    Jupiter         Umbra       1             2305.0122467
27 Mar 2032 22:56:47.751    27 Mar 2032 23:35:07.391      2299.6394497    Jupiter         Umbra       2             2299.6394497
28 Mar 2032 10:55:09.371    28 Mar 2032 11:33:27.168      2297.7966237    Jupiter         Umbra       3             2297.7966237
28 Mar 2032 22:53:30.154    28 Mar 2032 23:31:47.019      2296.8647728    Jupiter         Umbra       4             2296.8647728
29 Mar 2032 10:51:52.151    29 Mar 2032 11:30:06.683      2294.5326069    Jupiter         Umbra       5             2294.5326069
29 Mar 2032 22:50:11.289    29 Mar 2032 23:28:26.980      2295.6914771    Jupiter         Umbra       6             2295.6914771
30 Mar 2032 10:48:27.282    30 Mar 2032 11:26:47.764      2300.4820981    Jupiter         Umbra       7             2300.4820981
30 Mar 2032 22:46:43.579    30 Mar 2032 22:46:45.603      2.0236575510    Jupiter         Penumbra    8             2304.4054197
30 Mar 2032 22:46:45.603    30 Mar 2032 23:25:07.985      2302.3817622    Jupiter         Umbra       8             2304.4054197
31 Mar 2032 10:45:03.977    31 Mar 2032 10:45:05.996      2.0192243624    Jupiter         Penumbra    9             2303.9074454
31 Mar 2032 10:45:05.996    31 Mar 2032 11:23:27.884      2301.8882210    Jupiter         Umbra       9             2303.9074454
31 Mar 2032 22:43:24.299    31 Mar 2032 23:21:48.199      2303.8998181    Jupiter         Umbra       10            2303.8998181
01 Apr 2032 10:41:42.773    01 Apr 2032 11:20:08.356      2305.5826563    Jupiter         Umbra       11            2305.5826563
01 Apr 2032 22:40:04.557    01 Apr 2032 23:18:27.888      2303.3308568    Jupiter         Umbra       12            2303.3308568
02 Apr 2032 10:38:24.063    02 Apr 2032 10:38:26.047      1.9846282667    Jupiter         Penumbra    13            2303.5121234
02 Apr 2032 10:38:26.047    02 Apr 2032 11:16:47.575      2301.5274951    Jupiter         Umbra       13            2303.5121234
02 Apr 2032 22:36:44.014    02 Apr 2032 22:36:45.988      1.9739715150    Jupiter         Penumbra    14            2303.4741798
02 Apr 2032 22:36:45.988    02 Apr 2032 23:15:07.488      2301.5002083    Jupiter         Umbra       14            2303.4741798
03 Apr 2032 10:35:09.309    03 Apr 2032 11:13:26.659      2297.3502641    Jupiter         Umbra       15            2297.3502641
03 Apr 2032 22:33:33.828    03 Apr 2032 22:33:35.824      1.9954830408    Jupiter         Penumbra    16            2291.4911767
03 Apr 2032 22:33:35.824    03 Apr 2032 23:11:45.320      2289.4956937    Jupiter         Umbra       16            2291.4911767
04 Apr 2032 10:32:00.234    04 Apr 2032 11:10:04.476      2284.2422351    Jupiter         Umbra       17            2290.2008938
04 Apr 2032 11:10:04.476    04 Apr 2032 11:10:10.435      5.9586587129    Jupiter         Penumbra    17            2290.2008938
04 Apr 2032 22:30:23.270    04 Apr 2032 23:08:23.826      2280.5562814    Jupiter         Umbra       18            2286.5277909
04 Apr 2032 23:08:23.826    04 Apr 2032 23:08:29.798      5.9715094278    Jupiter         Penumbra    18            2286.5277909
05 Apr 2032 10:28:47.914    05 Apr 2032 11:06:42.874      2274.9603628    Jupiter         Umbra       19            2280.9508818
05 Apr 2032 11:06:42.874    05 Apr 2032 11:06:48.865      5.9905189555    Jupiter         Penumbra    19            2280.9508818
05 Apr 2032 22:27:10.557    05 Apr 2032 23:05:02.437      2271.8805477    Jupiter         Umbra       20            2277.8877358
05 Apr 2032 23:05:02.437    05 Apr 2032 23:05:08.444      6.0071880464    Jupiter         Penumbra    20            2277.8877358
06 Apr 2032 10:25:29.207    06 Apr 2032 11:03:22.735      2273.5282097    Jupiter         Umbra       21            2279.5380694
06 Apr 2032 11:03:22.735    06 Apr 2032 11:03:28.745      6.0098597780    Jupiter         Penumbra    21            2279.5380694
06 Apr 2032 22:23:49.086    06 Apr 2032 23:01:42.647      2273.5610940    Jupiter         Umbra       22            2279.5731049
06 Apr 2032 23:01:42.647    06 Apr 2032 23:01:48.659      6.0120109934    Jupiter         Penumbra    22            2279.5731049
07 Apr 2032 10:22:11.546    07 Apr 2032 11:00:02.094      2270.5484733    Jupiter         Umbra       23            2276.5718187
07 Apr 2032 11:00:02.094    07 Apr 2032 11:00:08.118      6.0233454220    Jupiter         Penumbra    23            2276.5718187
07 Apr 2032 22:20:32.010    07 Apr 2032 22:58:22.003      2269.9923042    Jupiter         Umbra       24            2276.0227370
07 Apr 2032 22:58:22.003    07 Apr 2032 22:58:28.033      6.0304327402    Jupiter         Penumbra    24            2276.0227370
08 Apr 2032 10:18:51.334    08 Apr 2032 10:56:42.029      2270.6950099    Jupiter         Umbra       25            2276.7260153
08 Apr 2032 10:56:42.029    08 Apr 2032 10:56:48.060      6.0310054338    Jupiter         Penumbra    25            2276.7260153
