Target: JupiterExpress_Finite

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
25 Feb 2032 05:43:03.012    25 Feb 2032 13:37:00.418      28437.405401    
26 Feb 2032 05:39:40.936    26 Feb 2032 13:33:54.960      28454.023345    
27 Feb 2032 05:36:18.479    27 Feb 2032 13:30:49.048      28470.569030    
28 Feb 2032 05:32:55.637    28 Feb 2032 13:27:42.674      28487.037006    
29 Feb 2032 05:29:32.404    29 Feb 2032 13:24:35.825      28503.421440    
01 Mar 2032 05:26:08.776    01 Mar 2032 13:21:28.492      28519.715977    
02 Mar 2032 05:22:44.748    02 Mar 2032 13:18:20.662      28535.913686    
03 Mar 2032 05:19:20.317    03 Mar 2032 13:15:12.324      28552.007046    
04 Mar 2032 05:15:55.476    04 Mar 2032 13:12:03.464      28567.988005    
05 Mar 2032 05:12:30.221    05 Mar 2032 13:08:54.069      28583.848094    
06 Mar 2032 05:09:04.547    06 Mar 2032 13:05:44.125      28599.578660    
07 Mar 2032 05:05:38.446    07 Mar 2032 13:02:33.617      28615.171228    
08 Mar 2032 05:02:11.913    08 Mar 2032 12:59:22.531      28630.617914    
09 Mar 2032 04:58:44.939    09 Mar 2032 12:56:10.851      28645.911703    
10 Mar 2032 04:55:17.516    10 Mar 2032 12:52:58.562      28661.046411    
11 Mar 2032 04:51:49.634    11 Mar 2032 12:49:45.650      28676.016245    
12 Mar 2032 04:48:21.284    12 Mar 2032 12:46:32.099      28690.815119    
13 Mar 2032 04:44:52.457    13 Mar 2032 12:43:17.893      28705.436044    
14 Mar 2032 04:41:23.145    14 Mar 2032 12:40:03.016      28719.870885    
15 Mar 2032 04:37:53.338    15 Mar 2032 12:36:47.448      28734.110550    
16 Mar 2032 04:34:23.027    16 Mar 2032 12:33:31.172      28748.145416    
17 Mar 2032 04:30:52.200    17 Mar 2032 12:30:14.166      28761.965674    
18 Mar 2032 04:27:20.847    18 Mar 2032 12:26:56.408      28775.561457    
19 Mar 2032 04:23:48.951    19 Mar 2032 12:23:37.874      28788.922754    
20 Mar 2032 04:20:16.498    20 Mar 2032 12:20:18.537      28802.039212    
21 Mar 2032 04:16:43.467    21 Mar 2032 12:16:58.367      28814.899884    
22 Mar 2032 04:13:09.835    22 Mar 2032 12:13:37.328      28827.492894    
23 Mar 2032 04:09:35.574    23 Mar 2032 12:10:15.379      28839.804982    
24 Mar 2032 04:06:00.646    24 Mar 2032 12:06:52.467      28851.820823    
25 Mar 2032 04:02:25.005    25 Mar 2032 12:03:28.527      28863.522035    
26 Mar 2032 03:58:48.588    26 Mar 2032 12:00:03.474      28874.885569    
27 Mar 2032 03:55:11.305    27 Mar 2032 11:56:37.186      28885.880902    
28 Mar 2032 03:51:33.019    28 Mar 2032 11:53:09.484      28896.464623    
29 Mar 2032 03:47:53.503    29 Mar 2032 11:49:40.071      28906.568334    
30 Mar 2032 03:44:12.311    30 Mar 2032 11:46:08.375      28916.063378    
31 Mar 2032 03:40:28.290    31 Mar 2032 11:42:32.876      28924.585742    
01 Apr 2032 03:36:30.563    01 Apr 2032 11:39:04.120      28953.557637    
02 Apr 2032 03:33:02.959    02 Apr 2032 11:35:46.550      28963.590675    
