Target: JupiterExpress_Finite

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Mar 2032 05:34:04.943    27 Mar 2032 11:55:08.542      22863.598686    
28 Mar 2032 03:50:24.351    28 Mar 2032 11:51:55.419      28891.067956    
29 Mar 2032 03:46:58.262    29 Mar 2032 11:48:45.641      28907.379708    
30 Mar 2032 03:43:27.651    30 Mar 2032 11:45:30.930      28923.279551    
31 Mar 2032 03:40:00.103    31 Mar 2032 11:42:15.713      28935.610763    
01 Apr 2032 03:36:32.743    01 Apr 2032 11:39:04.048      28951.304351    
02 Apr 2032 03:33:00.794    02 Apr 2032 11:35:47.454      28966.660302    
03 Apr 2032 03:29:31.775    03 Apr 2032 11:32:30.059      28978.284064    
04 Apr 2032 03:26:03.115    04 Apr 2032 11:29:16.398      28993.283349    
05 Apr 2032 03:22:29.797    05 Apr 2032 11:25:57.825      29008.027765    
06 Apr 2032 03:18:59.278    06 Apr 2032 11:22:38.165      29018.887497    
07 Apr 2032 03:15:29.275    07 Apr 2032 11:19:22.404      29033.129529    
08 Apr 2032 03:11:54.548    08 Apr 2032 11:16:01.759      29047.211177    
09 Apr 2032 03:08:22.489    09 Apr 2032 11:12:39.757      29057.267311    
10 Apr 2032 03:04:51.098    10 Apr 2032 11:09:21.801      29070.703189    
11 Apr 2032 03:01:14.924    11 Apr 2032 11:05:59.000      29084.075786    
12 Apr 2032 02:57:41.296    12 Apr 2032 11:02:34.581      29093.284949    
13 Apr 2032 02:54:08.484    13 Apr 2032 10:59:14.341      29105.856934    
14 Apr 2032 02:50:30.838    14 Apr 2032 10:55:49.300      29118.462068    
15 Apr 2032 02:46:55.624    15 Apr 2032 10:52:22.396      29126.771943    
16 Apr 2032 02:43:21.366    16 Apr 2032 10:48:59.788      29138.421265    
17 Apr 2032 02:39:42.226    17 Apr 2032 10:45:32.430      29150.204763    
18 Apr 2032 02:36:05.408    18 Apr 2032 10:42:02.980      29157.572169    
19 Apr 2032 02:32:29.678    19 Apr 2032 10:38:37.930      29168.252916    
20 Apr 2032 02:28:49.016    20 Apr 2032 10:35:08.187      29179.171618    
21 Apr 2032 02:25:10.574    21 Apr 2032 10:31:36.136      29185.562592    
22 Apr 2032 02:21:33.343    22 Apr 2032 10:28:08.580      29195.237609    
23 Apr 2032 02:17:51.133    23 Apr 2032 10:24:36.386      29205.253299    
24 Apr 2032 02:14:11.047    24 Apr 2032 10:21:01.683      29210.636423    
25 Apr 2032 02:10:32.288    25 Apr 2032 10:17:31.558      29219.270325    
26 Apr 2032 02:06:48.505    26 Apr 2032 10:13:56.847      29228.342008    
27 Apr 2032 02:03:06.759    27 Apr 2032 10:10:19.439      29232.679496    
28 Apr 2032 01:59:26.449    28 Apr 2032 10:06:46.678      29240.228927    
29 Apr 2032 01:55:41.071    29 Apr 2032 10:03:09.375      29248.303934    
30 Apr 2032 01:51:57.651    30 Apr 2032 09:59:29.198      29251.546435    
01 May 2032 01:48:15.766    01 May 2032 09:55:53.728      29257.961289    
02 May 2032 01:44:28.767    02 May 2032 09:52:13.751      29264.984681    
03 May 2032 01:40:43.651    03 May 2032 09:48:30.739      29267.088354    
04 May 2032 01:37:00.158    04 May 2032 09:44:52.491      29272.333151    
05 May 2032 01:33:11.500    05 May 2032 09:41:09.768      29278.268534    
06 May 2032 01:29:24.659    06 May 2032 09:37:23.868      29279.209626    
07 May 2032 01:25:39.521    07 May 2032 09:33:42.788      29283.267618    
08 May 2032 01:21:49.170    08 May 2032 09:29:57.259      29288.089708    
09 May 2032 01:18:00.582    09 May 2032 09:26:08.430      29287.847841    
10 May 2032 01:14:13.776    10 May 2032 09:22:24.476      29290.700369    
11 May 2032 01:10:21.712    11 May 2032 09:18:36.090      29294.377413    
12 May 2032 01:06:31.373    12 May 2032 09:14:44.300      29292.926572    
13 May 2032 01:02:42.887    13 May 2032 09:10:57.442      29294.554588    
14 May 2032 00:58:49.100    14 May 2032 09:07:06.159      29297.059335    
15 May 2032 00:54:57.008    15 May 2032 09:03:11.392      29294.383817    
16 May 2032 00:51:06.833    16 May 2032 08:59:21.616      29294.783157    
17 May 2032 00:47:11.311    17 May 2032 08:55:27.415      29296.103801    
18 May 2032 00:43:17.467    18 May 2032 08:51:29.670      29292.202796    
19 May 2032 00:39:25.594    19 May 2032 08:47:36.977      29291.382669    
20 May 2032 00:35:28.329    20 May 2032 08:43:39.847      29291.517580    
21 May 2032 00:31:32.736    21 May 2032 08:39:39.134      29286.398089    
22 May 2032 00:27:39.162    22 May 2032 08:35:43.535      29284.373411    
23 May 2032 00:23:40.151    23 May 2032 08:31:43.475      29283.323699    
24 May 2032 00:19:42.818    24 May 2032 08:27:39.810      29276.992668    
25 May 2032 00:15:47.547    25 May 2032 08:23:41.322      29273.774896    
26 May 2032 00:11:46.794    26 May 2032 08:19:38.329      29271.534715    
27 May 2032 00:07:47.737    27 May 2032 08:15:31.728      29263.990737    
28 May 2032 00:03:50.777    28 May 2032 08:11:30.361      29259.583953    
28 May 2032 23:59:48.289    29 May 2032 08:07:24.434      29256.144905    
29 May 2032 23:55:47.523    30 May 2032 08:03:14.916      29247.392635    
30 May 2032 23:51:48.876    31 May 2032 07:59:10.692      29241.815805    
31 May 2032 23:47:44.651    01 Jun 2032 07:55:01.843      29237.192203    
01 Jun 2032 23:43:42.184    02 Jun 2032 07:50:49.447      29227.262931    
02 Jun 2032 23:39:41.852    03 Jun 2032 07:46:42.411      29220.559108    
03 Jun 2032 23:35:35.894    04 Jun 2032 07:42:30.677      29214.783634    
04 Jun 2032 23:31:31.747    05 Jun 2032 07:38:15.467      29203.719289    
05 Jun 2032 23:27:29.748    06 Jun 2032 07:34:05.682      29195.933873    
06 Jun 2032 23:23:22.083    07 Jun 2032 07:29:51.121      29189.038017    
07 Jun 2032 23:19:16.299    08 Jun 2032 07:25:33.178      29176.879349    
08 Jun 2032 23:15:12.671    09 Jun 2032 07:21:20.729      29168.058194    
09 Jun 2032 23:11:03.338    10 Jun 2032 07:17:03.418      29160.079846    
10 Jun 2032 23:06:55.970    11 Jun 2032 07:12:42.850      29146.879679    
11 Jun 2032 23:02:50.759    12 Jun 2032 07:08:27.842      29137.083143    
12 Jun 2032 22:58:39.806    13 Jun 2032 07:04:07.885      29128.078160    
13 Jun 2032 22:54:30.914    14 Jun 2032 06:59:44.822      29113.907688    
14 Jun 2032 22:50:24.172    15 Jun 2032 06:55:27.383      29103.211148    
15 Jun 2032 22:46:11.656    16 Jun 2032 06:51:04.905      29093.249362    
16 Jun 2032 22:42:01.306    17 Jun 2032 06:46:39.497      29078.190883    
